problem_id,id,agg_runtime,code,instruction_count
			Q.push(-mn[1].se);

			Ql=-mn[1].se;

			Change(1,1,n);

		}

	}

	For(i,1,n+1){

		Output(res[i]);

		puts("""");

	}

}",3091847.625
p04052,s852092011,0.1054450823,"#include<bits/stdc++.h>

using namespace std;

const int maxn=5e5+5;

const int INF=1e7+5;

priority_queue<int,vector<int>,greater<int> > q;

int n,k;

int A[maxn],ans[maxn],ind[maxn];

int tot;

int h[maxn],last[maxn<<1],to[maxn<<1];

int st[maxn<<2];

void build(int x,int l,int r)

{

	st[x]=INF;

	if(l==r) return;

	int mid=(l+r)>>1;

	build(x<<1,l,mid),build(x<<1|1,mid+1,r);

} 

void pushup(int x)

{

	st[x]=min(st[x<<1],st[x<<1|1]);

}

void update(int x,int l,int r,int id,int k)

{

	if(l==r){

		st[x]=k;

		return;

	}

	int mid=(l+r)>>1;

	if(id<=mid) update(x<<1,l,mid,id,k);

	else update(x<<1|1,mid+1,r,id,k);

	pushup(x);

}

int query(int x,int l,int r,int ql,int qr)

{

	if(r<ql||l>qr) return INF;

	if(l>=ql&&r<=qr) return st[x];

	int mid=(l+r)>>1;

	return min(query(x<<1,l,mid,ql,qr),query(x<<1|1,mid+1,r,ql,qr));

}

void add(int x,int y)

{

	to[++tot]=y;last[tot]=h[x];h[x]=tot;++ind[y];

}

int main()

{

	scanf(""%d%d"",&n,&k);

	for(int i=1;i<=n;++i){

		int a=0;

		scanf(""%d"",&a);

		A[a]=i;

	}

	build(1,1,n);

	for(int i=n;i>=1;--i){

		int l=query(1,1,n,A[i],A[i]+k-1),r=query(1,1,n,A[i]-k+1,A[i]);

		if(l!=INF) add(A[i],A[l]);

		if(r!=INF) add(A[i],A[r]);

		update(1,1,n,A[i],i);

	}

	for(int i=1;i<=n;++i) if(!ind[i]) q.push(i);

	int cnt=0;

	while(q.size()){

		int u=q.top();

		q.pop();

		ans[u]=++cnt; 

		for(int i=h[u];i;i=last[i]){

			int v=to[i];

			if(!--ind[v]) q.push(v);

		}

	}

	for(int i=1;i<=n;++i) printf(""%d\n"",ans[i]);

	return 0;

}",3095003.75
p04052,s809487634,0.1054492213,"#include<iostream>

#include<cstdio>

#include<cstring>

#include<queue>

#include<vector>

#define N 500010

#define P pair<int,int>

#define MP make_pair

#define fi first

#define se second

using namespace std;

P tree[N<<2];

void change(int u,int l,int r,P x)

{

	tree[u]=max(tree[u],x);

	if(l==r) return;

	int mid=(l+r)>>1;

	if(x.se<=mid) change(u<<1,l,mid,x);

	else change(u<<1|1,mid+1,r,x);

}

P answer(int u,int l,int r,int L,int R)

{

	if(L<=l && r<=R) return tree[u];

	if(R<L) return MP(0,0);

	int mid=(l+r)>>1;

	P ans=MP(0,0);

	if(L<=mid) ans=max(ans,answer(u<<1,l,mid,L,R));

	if(R>mid) ans=max(ans,answer(u<<1|1,mid+1,r,L,R));

	return ans;

}

int nxt[N<<1],to[N<<1],head[N],in[N],cnt;

int p[N];

void add(int u,int v)

{

	nxt[++cnt]=head[u];

	to[cnt]=v;

	in[v]++;

	head[u]=cnt;

}

priority_queue<int,vector<int>,greater<int> > q;

int ans[N];

int main()

{

	int n,k;

	scanf(""%d%d"",&n,&k);

	for(int i=1;i<=n;i++)

	{

		int a;

		scanf(""%d"",&a);

		p[a]=i;

	}

	for(int i=1;i<=n;i++)

	{

		change(1,1,n,MP(i,p[i]));

		P l=answer(1,1,n,max(1,p[i]-k+1),p[i]-1),r=answer(1,1,n,p[i]+1,min(p[i]+k-1,n));

		if(l.fi>0) add(l.se,p[i]);

		if(r.fi>0) add(r.se,p[i]);

	}

	for(int i=1;i<=n;i++) if(!in[i]) q.push(i);

	int tot=0;

	while(!q.empty())

	{

		int u=q.top();

		q.pop();

		ans[u]=++tot;

		for(int i=head[u];i;i=nxt[i])

		{

			int v=to[i];

			in[v]--;

			if(!in[v]) q.push(v);

		}

	}

	for(int i=1;i<=tot;i++) printf(""%d\n"",ans[i]);

	return 0;

}
",3093752.075
p04052,s970617753,0.1050667432,"#include<cstdio>

#include<iostream>

#include<cstring>

#include<vector>

#include<queue>

#define RG register

using namespace std;

const int N=5e5+10;

struct dabt{

	int next,to;

}e[N<<2];

int head[N],k,n,m,tree[N<<2],ru[N],pos[N],p[N],cnt,ans[N];

priority_queue<int, vector<int> ,greater<int> > pn;

inline void add(int from,int to){e[++k]=(dabt){head[from],to}; head[from]=k; ru[to]++;}

inline int read(){

	char ch=getchar(); int x=0, f=1;

	while(ch<'0' || ch>'9') {if(ch=='-') f=-1;ch=getchar();}

	while(ch>='0' && ch<='9') {x=x*10+ch-'0'; ch=getchar();}

	return x*f;}

inline int mi(int a,int b){return a<b ? a : b;}

inline int mx(int a,int b){return a>b ? a : b;}

int sum(int l,int r,int st,int ed,int o)

{

	if(st<=l && r<=ed) return tree[o];

//	printf(""%d %d %d %d %d\n"",l,r,st,ed,o);

	if(l==r) return 2e9;

	int mid=l+(r-l)/2, ans=2e9;

	if(mid>=st) ans=mi(ans,sum(l,mid,st,ed,o<<1));

	if(mid<ed) ans=mi(ans,sum(mid+1,r,st,ed,o<<1|1));

	return ans;

}

void upd(int l,int r,int pos,int kk,int o)

{

	if(l==r) 

	{

		tree[o]=kk;

		return ;

	}

	int mid=l+(r-l)/2;

	if(pos<=mid) upd(l,mid,pos,kk,o<<1);

	else upd(mid+1,r,pos,kk,o<<1|1);

	tree[o]=mi(tree[o<<1],tree[o<<1|1]);

}

inline void topo()

{

	for(int i=1;i<=n;i++) if(!ru[i]) pn.push(i);

	while(!pn.empty())

	{

		int x=pn.top(); pn.pop(); ans[x]=++cnt;

		for(int i=head[x];i;i=e[i].next)

		{

			int v=e[i].to;

			if(--ru[v]==0) pn.push(v);

		}

	}

}

int main()

{

//	freopen(""Wide Swap.in"",""r"",stdin);

//	freopen(""Wide Swap.out"",""w"",stdout);

	n=read(); m=read();

	for(int i=1;i<=(n<<2);i++) tree[i]=2e9;

	for(int i=1;i<=n;i++)

	{

		pos[p[i]=read()]=i;

	}

	for(int i=n,x;i;i--)

	{

		x=sum(1,n,pos[i]+1,mi(pos[i]+m-1,n),1);

		if(x<2e9) add(pos[i],pos[x]);

		x=sum(1,n,mx(pos[i]-m+1,1),pos[i]-1,1);

		if(x<2e9) add(pos[i],pos[x]);

		upd(1,n,pos[i],i,1);

	}

	topo();

	for(int i=1;i<=n;i++) printf(""%d\n"",ans[i]);

	//fclose(stdin); fclose(stdout);

	return 0;

}",3092197.975
p04052,s645795344,0.0192557279,"#include<cstdio>

#include<algorithm>

using namespace std;

int heap[500005],top;

struct tree{

	int max;

}t[2000005];

struct link{

	int next,to;

}l[500005];

int n,sum,cnt,k;

int a[500005],p[500005],pre[500005],ans[500005],tmp[500005],head[500005];

inline int read(){

	int ret=0;char c=getchar();

	while((c<'0')||(c>'9'))c=getchar();

	while((c>='0')&&(c<='9'))ret=(ret<<1)+(ret<<3)+c-'0',c=getchar();

	return ret;

}

int P[20],pcnt;

void print(int x){

	if(x==0){puts(""0"");return;}

	while(x)P[++pcnt]=x%10,x/=10;

	while(pcnt)putchar(P[pcnt--]+'0');

	putchar('\n');

}

#define mid ((l+r)>>1)

#define lson index<<1

#define rson index<<1|1

inline int query(int L,int R,int l,int r,int index){

	if((L<=l)&&(R>=r))return t[index].max;

	if(R<=mid)return query(L,R,l,mid,lson);

	if(L>mid)return query(L,R,mid+1,r,rson);

	return max(query(L,R,l,mid,lson),query(L,R,mid+1,r,rson));

}

void updata(int l,int r,int index,int k,int x){

	t[index].max=x;

	if(l==r)return;

	if(k<=mid)updata(l,mid,lson,k,x);

	else updata(mid+1,r,rson,k,x);

}

void add(int u,int v){l[++cnt]=(link){head[u],v};head[u]=cnt;}

void ins(int x){

	heap[++top]=x;int k=top;

	while(k>1){

		if(heap[k>>1]>heap[k])swap(heap[k],heap[k>>1]);

		else break;

		k>>=1;

	}

}

void pop(){

	heap[1]=heap[top];int k=1;top--;

	while((k<<1)<=top){

		int v=k<<1;

		if(v<top)if(heap[v|1]<heap[v])v|=1;

		if(heap[v]<heap[k])swap(heap[k],heap[v]);

		else break;

		k=v;

	}

}

int main(){

	n=read();k=read();

	for(int i=1;i<=n;i++)p[i]=read(),a[p[i]]=i;

	for(int i=1;i<=n;i++){

		int r=min(n,a[i]+k-1);

		pre[i]=a[query(a[i],r,1,n,1)];

		updata(1,n,1,a[i],i);

	}

	for(int i=1;i<=n;i++)if(pre[i])add(pre[i],a[i]);

	for(int i=1;i<=n;i++)if(pre[i]==0)ins(a[i]);

	cnt=0;

	for(int i=1;i<=n;i++){

		int u=heap[1];ans[u]=++cnt;pop();

		for(int j=head[u];j;j=l[j].next)ins(l[j].to);

	}

	for(int i=1;i<=n;i++)print(ans[i]);

}",3032661.025
p02755,s616990668,0.413646682,"#include<iostream>

#include<vector>

#include<string>

#include<algorithm>

#include<stack>

#include<queue>

#include<map>

#include<math.h>



#define rep(i,n) for(int i=0;i<(n);i++)

typedef long long ll;

using namespace std;



int main() {

	int a, b; cin >> a >> b;



	for (int i = 0; i <= 1114514; i++)

	{

		int m = i * 0.08;

		int n = i * 0.1;

		if (m == a && n == b) {

			cout << i << endl;

			return 0;

		}

	}

	cout << -1 << endl;

	return 0;

}",5884329.525
p02755,s712557057,0.3816588973,"#include <bits/stdc++.h>



using namespace std;



// Header files, namespaces,

// macros as defined above

#include <ext/pb_ds/assoc_container.hpp>

#include <ext/pb_ds/tree_policy.hpp>

using namespace __gnu_pbds;



#define ordered_set tree<int, null_type,less<int>, rb_tree_tag,tree_order_statistics_node_update>





#define f first

#define s second

#define db long double

#define pb push_back

#define sz(c) (int)(c).size()

#define all(c) (c).begin(),(c).end()



typedef long long ll;

typedef pair <int , int> ii;

typedef pair <ii , ll> iii;

typedef vector <int> vi;

typedef vector <ii> vii;

typedef vector <iii> viii;

typedef vector <vi> vvi;

typedef vector <vii> vvii;





const int mod = 998244353;

//const db eps = 1e-13;

const ll oo = 1e18;

const int MAX = 1e6+6;

// basic operations

int mul( int a , int b ) {

    return (1ll*a*b)%mod;

}

int add( int a , int b ) {

    return (a+b)%mod;

}

int sub( int a , int b ) {

    return (a-b+mod)%mod;

}

void addSelf( int& a, int b, int m ) {

    a += b;

    b %= m;

}



int exp( int a, int b ) {



    int res = 1;

    while( b ) {



        if ( b % 2 ) {

            res = mul( res, a );

        }

        a = mul(a, a);

        b >>= 1;



    }

    return res;

}



//ll gcd[500005][20], A[500005], N, Q, a, b, r;

//void process2() {

//        int i, j;

//        for (i = 0; i < N; i++)

//                gcd[i][0] = i;

//        for (j = 1; 1 << j <= N; j++)

//                for (i = 0; i + (1 << j) - 1 < N; i++)

//                        gcd[i][j] = __gcd(gcd[i][j - 1], gcd[i + (1 << (j - 1))][j - 1]);

//}

//int RMQ(int a, int b) {

//        int k = (int) log2(b - a + 1);

//        return __gcd(gcd[a][k], gcd[b - (1 << k) + 1][k]);

//}



int main()

{

    ios_base::sync_with_stdio(0);cin.tie(0);

    int A, B;

    cin>>A>>B;

    for( int i = 0; i <= 1000000; i++ ) {



        if( (int)(0.08*i) == A && (int)(0.10*i) == B ) {

            cout<<i<<""\n"";

            return 0;

        }



    }

    cout<<""-1\n"";





}",5597530.0
p02755,s690471266,0.3809636228,"#include <iostream>

#include <vector>

#include <string>

#include <algorithm>

#include <cmath>

#include <queue>

#include <climits>

#include <set>

#include <map>

#include <stack>

#include <iomanip>

#include <tuple>

#define ll long long

using namespace std;

using graph =vector<vector<ll>>;

/*階乗*/

ll factorial(ll n){

    if(n==0){

        return 1;

    }

    else{

        return n*factorial(n-1)%1000000007;

    }

}



/* ユークリッドの互除法 最大公約数*/

/*ll gcd(ll a, ll b) {

	ll r;

	r = a % b;

	while (r != 0) {

		a = b;

		b = r;

		r = a % b;

	}

	return b;

}

*/





/*最小公倍数*/

/*

ll lcm(ll a,ll b){

	return a/gcd(a,b)*b;

}

*/



/*二点間の距離*/

double dist(pair<double,double> a,pair<double,double> b){

	return sqrt(pow((a.first - b.first) ,2) + pow((a.second - b.second),2));

}



//繰り返し自乗法

double ism(double aa,ll p){

    double ap=aa;

    double ans=1;

    while(p>0){

        //cout<<""p=""<<p<<"",ap=""<<ap<<endl;

        if(p&1){//奇数が真

            ans*=ap;

        }

        p/=2;

        ap=ap*ap;

    }

    return ans;



}

//繰り返し自乗法(アマリトリバージョン)

ll ismm(ll aa,ll p,ll m){

    ll ap=aa;

    ll ans=1;

    while(p>0){

        //cout<<""p=""<<p<<"",ap=""<<ap<<endl;

        if(p&1){//奇数が真

            ans=(ans*ap)%m;    

        }

        p/=2;              

        ap=(ap*ap)%m;

    }

    return ans;



}

/*

ll solve(ll i,ll m,vector<ll>t,ll n){

    if(m==0){

        return 1;

    }

    if(i>=n){

        return 0;

    }

    

    

    cout<<i+1<<"" ""<<m<<endl;

    cout<<i+1<<"" ""<<m-t[i]<<endl;

    ll res=solve(i+1,m,t,n)||solve(i+1,m-t[i],t,n);

    return res;

}

*/



//小数点12桁

struct all_init

{

    all_init()

    {

        cout << fixed << setprecision(12);

    }

} All_init;





int main()

{

    ll a,b;

    cin>>a>>b;

    //double x=a/(0.08)+b/(0.10);

    //cout<<max(a/0.08,b/0.10)<<endl;

    for(ll i=0;i<1000000;i++){

        //cout<<i*0.08<<endl;

        //cout<<i*0.10<<endl;

        if((ll)(i*0.08)==a&&(ll)(i*0.10)==b){

            cout<<(ll)(i)<<endl;

            exit(0);

        }

    }

    cout<<-1<<endl;



    

    

        

}",5597419.125
p02755,s887278553,0.4139146549,"#include<bits/stdc++.h>

#define INF 1e9

#define llINF 1e18

#define MOD 1000000007

#define pb push_back

#define mp make_pair 

#define F first

#define S second

#define ll long long

#define vi vector<ll>

#define vvi vector<vi>

#define BITLE(n) (1LL<<((ll)n))

#define SHIFT_LEFT(n) (1LL<<((ll)n))

#define SUBS(s,f,t) ((s).substr((f),(t)-(f)))

#define ALL(a) (a).begin(),(a).end()

using namespace std;



int main(){

  cin.tie(0);

  ios::sync_with_stdio(false);

  ll a,b;cin>>a>>b;

  for(ll i=1;i<=1111111;i++){

    if((ll)((double)i*0.08) == a &&

       (ll)((double)i*0.1) == b){

      cout<<i<<endl;

      return 0;

    }

  }

  cout<<-1<<endl;

  return 0;

}
",5879334.175
p02755,s659026542,0.0952259319,"#include<iostream>

#include<vector>

#include<string>

#include<algorithm>

#include<stack>

#include<queue>

#include<map>

#include<functional>

#include<math.h>



#define rep(i,n) for(ll i=0;i<(n);i++)

typedef long long ll;

using namespace std;



int main() {

	int a, b;

	cin >> a >> b;



	for (int i = 1; i < 10000;i++) {

		int zei8 = i * 0.08;

		int zei10 = i * 0.1;

		if (zei8 == a && zei10 == b) {

			cout << i << endl;

			return 0;

		}

	}

	cout << -1 << endl;



	return 0;

}",3123050.275
p02755,s707319765,0.0931874838,"#include<iostream>

#include<algorithm>

#include<math.h>

#include<map>

using namespace std;

map<int,int>mp;

int main()

{

	int a,b,f=0;

	double x,y;

	cin>>a>>b;

	x=a/0.08;y=(a+1)/0.08;

	for(int i=ceil(x);i<y;i++)mp[i]++;

	x=b/0.1;y=(b+1)/0.1;

	for(int i=ceil(x);i<y;i++)

	{

		mp[i]++;

		if(mp[i]>1)

		{

			cout<<i<<endl;

			f=1;

			break;

		}

	}

	if(f==0)cout<<""-1""<<endl;

	return 0;

}",3105554.025
p02755,s468563279,0.0932607916,"#include <iostream>

#include <vector>

#include <string>

#include <algorithm>

#include <cmath>

#include <queue>

#include <climits>

#include <set>

#include <map>

#include <stack>

#include <iomanip>

#include <tuple>

#include <cstdio>

#include <numeric>

#include <unordered_set>

#include <unordered_map>

#include <cstdint>

#define ll long long

#define rep(i, s, n) for (ll i = (ll)(s); i < (ll)(n); i++)

#define all(a) (a).begin(), a.end()

#define rall(a) (a).rbegin(),(a).rend()

#define PI 3.14159265359

#define mod 1000000007

#define P pair<ll, ll>

#define V vector<ll>

#define C vector<char>

#define B vector<bool>

#define endl '\n'

using namespace std;

using graph = vector<vector<ll>>;

const ll MAX = 510000;

const ll MOD = 1000000007;



ll fac[MAX], finv[MAX], inv[MAX];





// テーブルを作る前処理

void cominit()

{

    fac[0] = fac[1] = 1;

    finv[0] = finv[1] = 1;

    inv[1] = 1;

    for (ll i = 2; i < MAX; i++)

    {

        fac[i] = fac[i - 1] * i % MOD;

        inv[i] = MOD - inv[MOD % i] * (MOD / i) % MOD;

        finv[i] = finv[i - 1] * inv[i] % MOD;

    }

}



// mod. m での a の逆元 a^{-1} を計算する

ll modinv(ll a, ll m)

{

    ll b = m, u = 1, v = 0;

    while (b)

    {

        ll t = a / b;

        a -= t * b;

